in s,C2 in V
-2.96649E-01,3.34616E+00
-2.96644E-01,3.34738E+00
-2.96639E-01,3.34738E+00
-2.96634E-01,3.34799E+00
-2.96629E-01,3.34708E+00
-2.96624E-01,3.34723E+00
-2.96619E-01,3.34753E+00
-2.96614E-01,3.34753E+00
-2.96609E-01,3.34906E+00
-2.96604E-01,3.34952E+00
-2.96599E-01,3.34967E+00
-2.96594E-01,3.34830E+00
-2.96589E-01,3.34769E+00
-2.96584E-01,3.35028E+00
-2.96579E-01,3.34937E+00
-2.96574E-01,3.34799E+00
-2.96569E-01,3.34876E+00
-2.96564E-01,3.34738E+00
-2.96559E-01,3.34799E+00
-2.96554E-01,3.34845E+00
-2.96549E-01,3.34982E+00
-2.96544E-01,3.35043E+00
-2.96538E-01,3.35059E+00
-2.96533E-01,3.35013E+00
-2.96528E-01,3.34952E+00
-2.96523E-01,3.34876E+00
-2.96518E-01,3.34876E+00
-2.96513E-01,3.34815E+00
-2.96508E-01,3.34723E+00
-2.96503E-01,3.34860E+00
-2.96498E-01,3.34906E+00
-2.96493E-01,3.34952E+00
-2.96488E-01,3.35028E+00
-2.96483E-01,3.34876E+00
-2.96478E-01,3.34845E+00
-2.96473E-01,3.34799E+00
-2.96468E-01,3.34891E+00
-2.96463E-01,3.34876E+00
-2.96458E-01,3.34860E+00
-2.96453E-01,3.34799E+00
-2.96448E-01,3.34876E+00
-2.96443E-01,3.34860E+00
-2.96438E-01,3.34876E+00
-2.96433E-01,3.34860E+00
-2.96428E-01,3.34876E+00
-2.96423E-01,3.34769E+00
-2.96418E-01,3.34784E+00
-2.96412E-01,3.34860E+00
-2.96407E-01,3.34891E+00
-2.96402E-01,3.34830E+00
-2.96397E-01,3.34769E+00
-2.96392E-01,3.34784E+00
-2.96387E-01,3.34769E+00
-2.96382E-01,3.34860E+00
-2.96377E-01,3.34845E+00
-2.96372E-01,3.34860E+00
-2.96367E-01,3.34891E+00
-2.96362E-01,3.34937E+00
-2.96357E-01,3.34891E+00
-2.96352E-01,3.34952E+00
-2.96347E-01,3.34952E+00
-2.96342E-01,3.34937E+00
-2.96337E-01,3.34891E+00
-2.96332E-01,3.34723E+00
-2.96327E-01,3.34723E+00
-2.96322E-01,3.34631E+00
-2.96317E-01,3.34723E+00
-2.96312E-01,3.34769E+00
-2.96307E-01,3.34815E+00
-2.96302E-01,3.34860E+00
-2.96297E-01,3.34815E+00
-2.96292E-01,3.34738E+00
-2.96286E-01,3.34738E+00
-2.96281E-01,3.34677E+00
-2.96276E-01,3.34662E+00
-2.96271E-01,3.34723E+00
-2.96266E-01,3.34708E+00
-2.96261E-01,3.34723E+00
-2.96256E-01,3.34677E+00
-2.96251E-01,3.34723E+00
-2.96246E-01,3.34616E+00
-2.96241E-01,3.34662E+00
-2.96236E-01,3.34723E+00
-2.96231E-01,3.34769E+00
-2.96226E-01,3.34753E+00
-2.96221E-01,3.34799E+00
-2.96216E-01,3.34769E+00
-2.96211E-01,3.34891E+00
-2.96206E-01,3.34921E+00
-2.96201E-01,3.34998E+00
-2.96196E-01,3.34937E+00
-2.96191E-01,3.34967E+00
-2.96186E-01,3.34998E+00
-2.96181E-01,3.34799E+00
-2.96176E-01,3.34876E+00
-2.96171E-01,3.34845E+00
-2.96166E-01,3.34815E+00
-2.96160E-01,3.34692E+00
-2.96155E-01,3.34647E+00
-2.96150E-01,3.34631E+00
-2.96145E-01,3.34677E+00
-2.96140E-01,3.34692E+00
-2.96135E-01,3.34647E+00
-2.96130E-01,3.34586E+00
-2.96125E-01,3.34647E+00
-2.96120E-01,3.34830E+00
-2.96115E-01,3.34784E+00
-2.96110E-01,3.34815E+00
-2.96105E-01,3.34784E+00
-2.96100E-01,3.34815E+00
-2.96095E-01,3.34799E+00
-2.96090E-01,3.34753E+00
-2.96085E-01,3.34815E+00
-2.96080E-01,3.34662E+00
-2.96075E-01,3.34631E+00
-2.96070E-01,3.34662E+00
-2.96065E-01,3.34555E+00
-2.96060E-01,3.34708E+00
-2.96055E-01,3.34723E+00
-2.96050E-01,3.34677E+00
-2.96045E-01,3.34723E+00
-2.96040E-01,3.34769E+00
-2.96034E-01,3.34677E+00
-2.96029E-01,3.34769E+00
-2.96024E-01,3.34876E+00
